step_index,hospital_name,latitude,longitude
1,St James's University Hospital,53.8067363,-1.5193136
2,St James's University Hospital,53.8048728,-1.5219632
3,St James's University Hospital,53.8043332,-1.522462
4,St James's University Hospital,53.804011,-1.5228125
5,St James's University Hospital,53.8021487,-1.5244135
6,St James's University Hospital,53.80087,-1.5255516
7,St James's University Hospital,53.8002345,-1.526232
8,St James's University Hospital,53.7997865,-1.5267449
9,St James's University Hospital,53.7992464,-1.5273
10,St James's University Hospital,53.7989791,-1.527406
11,St James's University Hospital,53.798769,-1.5275001
12,St James's University Hospital,53.7983408,-1.5280031
13,St James's University Hospital,53.7980864,-1.5284847
14,St James's University Hospital,53.7978985,-1.5287883
15,St James's University Hospital,53.7972721,-1.5296792
16,St James's University Hospital,53.797052,-1.5304811
17,St James's University Hospital,53.7969445,-1.5309801
18,St James's University Hospital,53.796739,-1.5326294
19,St James's University Hospital,53.7969742,-1.5325392
20,St James's University Hospital,53.7972222,-1.5325073
21,St James's University Hospital,53.7970755,-1.534425
22,St James's University Hospital,53.7965407,-1.5341065
23,St James's University Hospital,53.7955011,-1.5341485
24,St James's University Hospital,53.795369,-1.5346059
25,St James's University Hospital,53.795356,-1.5347643
26,St James's University Hospital,53.7954701,-1.536639
27,St James's University Hospital,53.7956679,-1.5372671
28,St James's University Hospital,53.796476,-1.5369287
